,openTime,open,high,low,close,volume
0,2025-05-11 00:00:00+00:00,2581.9,2608.0,2498.79,2542.88,915801.463
1,2025-05-11 01:00:00+00:00,2542.87,2556.99,2510.45,2531.81,317659.416
2,2025-05-11 02:00:00+00:00,2531.81,2565.0,2521.34,2542.39,446981.45
3,2025-05-11 03:00:00+00:00,2542.39,2554.07,2529.19,2536.31,162213.515
4,2025-05-11 04:00:00+00:00,2536.31,2550.0,2529.07,2544.13,156903.362
5,2025-05-11 05:00:00+00:00,2544.12,2561.68,2535.65,2553.68,204234.963
6,2025-05-11 06:00:00+00:00,2553.67,2554.99,2503.66,2520.09,414608.809
7,2025-05-11 07:00:00+00:00,2520.1,2520.1,2452.61,2472.61,762926.213
8,2025-05-11 08:00:00+00:00,2472.61,2504.49,2471.5,2479.92,337517.272
9,2025-05-11 09:00:00+00:00,2479.92,2521.41,2479.87,2514.15,269250.425
10,2025-05-11 10:00:00+00:00,2514.15,2520.0,2494.02,2509.5,184658.417
11,2025-05-11 11:00:00+00:00,2509.49,2534.8,2505.52,2529.36,231854.204
12,2025-05-11 12:00:00+00:00,2529.36,2530.92,2509.8,2514.41,158498.444
13,2025-05-11 13:00:00+00:00,2514.42,2529.51,2464.2,2468.2,540020.556
14,2025-05-11 14:00:00+00:00,2468.21,2493.27,2467.2,2484.77,230524.562
15,2025-05-11 15:00:00+00:00,2484.76,2503.99,2434.89,2461.22,445195.755
16,2025-05-11 16:00:00+00:00,2461.22,2479.75,2439.08,2470.05,380211.974
17,2025-05-11 17:00:00+00:00,2470.04,2495.06,2465.5,2490.55,227015.082
18,2025-05-11 18:00:00+00:00,2490.56,2514.38,2471.29,2503.84,297856.122
19,2025-05-11 19:00:00+00:00,2503.83,2524.38,2500.82,2506.99,200618.595
20,2025-05-11 20:00:00+00:00,2507.0,2511.74,2492.0,2508.69,150508.617
21,2025-05-11 21:00:00+00:00,2508.69,2519.44,2496.32,2515.66,106538.815
22,2025-05-11 22:00:00+00:00,2515.65,2527.71,2481.95,2502.16,243095.315
23,2025-05-11 23:00:00+00:00,2502.15,2514.27,2496.58,2513.48,109051.215
24,2025-05-12 00:00:00+00:00,2513.48,2544.97,2510.0,2530.21,305328.761
25,2025-05-12 01:00:00+00:00,2530.2,2548.0,2490.0,2504.48,328456.69
26,2025-05-12 02:00:00+00:00,2504.48,2535.09,2501.06,2521.78,203772.056
27,2025-05-12 03:00:00+00:00,2521.77,2526.28,2508.57,2519.01,104117.222
28,2025-05-12 04:00:00+00:00,2519.0,2526.61,2506.54,2517.19,142886.182
29,2025-05-12 05:00:00+00:00,2517.19,2520.29,2490.7,2496.8,183087.879
30,2025-05-12 06:00:00+00:00,2496.79,2521.05,2484.02,2516.66,201137.142
31,2025-05-12 07:00:00+00:00,2516.66,2624.84,2516.65,2553.44,1715685.814
32,2025-05-12 08:00:00+00:00,2553.45,2585.05,2530.62,2576.72,467473.805
33,2025-05-12 09:00:00+00:00,2576.72,2581.51,2546.66,2549.74,274104.966
34,2025-05-12 10:00:00+00:00,2549.73,2562.56,2538.52,2559.29,227451.318
35,2025-05-12 11:00:00+00:00,2559.29,2566.0,2520.0,2529.34,299428.655
36,2025-05-12 12:00:00+00:00,2529.32,2559.7,2528.01,2548.49,268303.624
37,2025-05-12 13:00:00+00:00,2548.5,2575.6,2542.5,2556.99,512549.382
38,2025-05-12 14:00:00+00:00,2556.98,2569.5,2486.11,2504.93,977255.612
39,2025-05-12 15:00:00+00:00,2504.93,2514.87,2478.0,2485.94,536586.727
40,2025-05-12 16:00:00+00:00,2485.95,2507.89,2469.33,2499.7,338330.91
41,2025-05-12 17:00:00+00:00,2499.7,2511.94,2463.57,2475.75,263878.181
42,2025-05-12 18:00:00+00:00,2475.74,2484.59,2406.55,2434.19,900431.91
43,2025-05-12 19:00:00+00:00,2434.19,2466.55,2427.8,2459.29,350469.155
44,2025-05-12 20:00:00+00:00,2459.28,2495.33,2450.88,2484.57,230420.151
45,2025-05-12 21:00:00+00:00,2484.57,2490.9,2466.0,2478.85,130516.142
46,2025-05-12 22:00:00+00:00,2478.85,2496.72,2472.85,2484.69,123185.448
47,2025-05-12 23:00:00+00:00,2484.69,2499.34,2484.18,2494.16,112203.133
48,2025-05-13 00:00:00+00:00,2494.16,2494.9,2457.6,2461.97,246806.149
49,2025-05-13 01:00:00+00:00,2461.97,2475.59,2438.73,2451.94,238234.543
50,2025-05-13 02:00:00+00:00,2451.94,2458.79,2414.36,2438.16,347240.649
51,2025-05-13 03:00:00+00:00,2438.16,2443.82,2416.46,2424.07,222759.11
52,2025-05-13 04:00:00+00:00,2424.06,2458.06,2418.84,2454.7,254246.198
53,2025-05-13 05:00:00+00:00,2454.69,2462.65,2438.01,2449.03,178021.476
54,2025-05-13 06:00:00+00:00,2449.02,2460.33,2446.34,2452.61,129106.293
55,2025-05-13 07:00:00+00:00,2452.61,2479.45,2451.52,2459.9,215485.788
56,2025-05-13 08:00:00+00:00,2459.89,2470.4,2450.57,2456.41,138739.592
57,2025-05-13 09:00:00+00:00,2456.41,2486.88,2455.88,2483.76,263215.768
58,2025-05-13 10:00:00+00:00,2483.77,2486.4,2470.55,2481.03,164472.677
59,2025-05-13 11:00:00+00:00,2481.03,2524.97,2477.5,2512.26,399334.257
60,2025-05-13 12:00:00+00:00,2512.25,2541.26,2490.13,2523.61,568268.623
61,2025-05-13 13:00:00+00:00,2523.62,2561.73,2517.67,2548.56,489507.796
62,2025-05-13 14:00:00+00:00,2548.59,2555.88,2525.5,2543.53,447180.06
63,2025-05-13 15:00:00+00:00,2543.53,2573.0,2538.3,2564.89,388136.381
64,2025-05-13 16:00:00+00:00,2564.88,2600.0,2558.61,2596.85,561794.296
65,2025-05-13 17:00:00+00:00,2596.85,2622.0,2589.02,2609.6,536766.909
66,2025-05-13 18:00:00+00:00,2609.61,2671.6,2604.81,2668.83,586548.656
67,2025-05-13 19:00:00+00:00,2668.82,2738.62,2652.43,2690.02,1084152.661
68,2025-05-13 20:00:00+00:00,2690.02,2696.63,2653.0,2688.67,540298.002
69,2025-05-13 21:00:00+00:00,2688.67,2692.0,2668.6,2689.97,204166.184
70,2025-05-13 22:00:00+00:00,2689.97,2706.98,2674.55,2678.88,260983.659
71,2025-05-13 23:00:00+00:00,2678.9,2685.9,2656.0,2678.59,230713.28
72,2025-05-14 00:00:00+00:00,2678.58,2699.99,2671.23,2694.93,247352.689
73,2025-05-14 01:00:00+00:00,2694.96,2724.96,2664.24,2670.5,561935.745
74,2025-05-14 02:00:00+00:00,2670.5,2671.24,2620.8,2637.17,629164.174
75,2025-05-14 03:00:00+00:00,2637.17,2646.85,2623.01,2645.78,202801.375
76,2025-05-14 04:00:00+00:00,2645.79,2673.87,2635.06,2673.4,219481.281
77,2025-05-14 05:00:00+00:00,2673.48,2686.61,2662.0,2672.1,211522.181
78,2025-05-14 06:00:00+00:00,2672.1,2676.74,2658.68,2672.65,116076.464
79,2025-05-14 07:00:00+00:00,2672.65,2673.29,2638.0,2639.14,260141.67
80,2025-05-14 08:00:00+00:00,2639.15,2644.71,2586.0,2596.41,521006.976
81,2025-05-14 09:00:00+00:00,2596.4,2609.11,2575.0,2606.53,382755.008
82,2025-05-14 10:00:00+00:00,2606.52,2615.92,2587.63,2594.78,282153.217
83,2025-05-14 11:00:00+00:00,2594.79,2634.64,2594.78,2624.16,321909.784
84,2025-05-14 12:00:00+00:00,2624.16,2634.52,2603.0,2611.8,232341.109
85,2025-05-14 13:00:00+00:00,2611.81,2626.25,2576.3,2605.1,438736.612
86,2025-05-14 14:00:00+00:00,2605.11,2605.39,2557.0,2582.34,513668.047
87,2025-05-14 15:00:00+00:00,2582.34,2600.0,2559.34,2596.28,311115.149
88,2025-05-14 16:00:00+00:00,2596.28,2598.76,2577.33,2588.9,259482.106
89,2025-05-14 17:00:00+00:00,2588.9,2591.4,2545.0,2589.03,345282.892
90,2025-05-14 18:00:00+00:00,2589.02,2613.5,2578.54,2612.49,268355.435
91,2025-05-14 19:00:00+00:00,2612.48,2616.82,2597.42,2603.85,176140.254
92,2025-05-14 20:00:00+00:00,2603.86,2609.99,2596.27,2599.34,85687.303
93,2025-05-14 21:00:00+00:00,2599.34,2609.71,2582.31,2605.38,127208.963
94,2025-05-14 22:00:00+00:00,2605.38,2606.88,2585.63,2594.83,81633.431
95,2025-05-14 23:00:00+00:00,2594.84,2612.88,2582.65,2608.74,118326.286
